original_file_name,id.x,file_name,catalog_id,dataset,path,scientific_name.x,genus.x,family.x,institution,width,height,size,id.y,image_metadata_id,user_id,fish_number,has_ruler,has_label,labelname_matched_imagefilename,barcode_visible,label_detailed,has_colorbar,has_label_attached_fish,non_specimen_objects,if_overlapping,specimen_angled,specimen_viewing,straight_curved,if_missing_parts,if_parts_visible,fins_folded_oddly,brightness,if_background_uniform,if_focus,color_issues,image_quality,scientific_name.y,genus.y,family.y
INHS_FISH_000742.jpg,121839,INHS_121839.JPG,742,GLIN,http://www.tubri.org/HDR/INHS/INHS_FISH_000742.jpg,Carassius auratus,Carassius ,Cyprinidae,INHS,6016,4016,5477799,587cc025-161c-579e-9823-917966e95a5f,6c3c032f-1cd5-4c2b-87aa-569b7dd8ef84,12,1,TRUE,TRUE,TRUE,FALSE,detailed,FALSE,FALSE,no,FALSE,9,left,straight,FALSE,TRUE,FALSE,normal,TRUE,TRUE,none,8,Carassius auratus,Carassius ,Cyprinidae
INHS_FISH_000757.jpg,121844,INHS_121844.JPG,757,GLIN,http://www.tubri.org/HDR/INHS/INHS_FISH_000757.jpg,Carassius auratus,Carassius ,Cyprinidae,INHS,6016,4016,5870351,c9053f1a-e6ca-5076-ad9a-426752de7fd1,6076307d-fe14-4104-a62b-9138334d3e6b,15,1,TRUE,TRUE,TRUE,FALSE,detailed,FALSE,FALSE,clear disks,FALSE,9,left,straight,FALSE,TRUE,FALSE,normal,TRUE,TRUE,none,9,Carassius auratus,Carassius ,Cyprinidae
INHS_FISH_000835.jpg,121865,INHS_121865.JPG,835,GLIN,http://www.tubri.org/HDR/INHS/INHS_FISH_000835.jpg,Carassius auratus,Carassius ,Cyprinidae,INHS,6016,4016,7338437,ad1d1316-a200-5861-baf4-55fc927b1efd,31a33a0b-1a93-46e8-a188-2a911853caab,12,1,TRUE,TRUE,TRUE,FALSE,detailed,FALSE,FALSE,no,FALSE,9,left,straight,FALSE,TRUE,FALSE,normal,TRUE,TRUE,none,7,Carassius auratus,Carassius ,Cyprinidae
INHS_FISH_00190.jpg,121714,INHS_121714.JPG,190,GLIN,http://www.tubri.org/HDR/INHS/INHS_FISH_00190.jpg,Notropis dorsalis,Notropis ,Cyprinidae,INHS,6016,4016,10718372,7c177d9f-8146-55d3-8655-a792cdd79290,e76313da-3e5b-4839-a451-6c4c9c7ea438,22,1,TRUE,TRUE,TRUE,FALSE,detailed,FALSE,FALSE,no,FALSE,9,left,straight,FALSE,TRUE,FALSE,normal,FALSE,TRUE,none,5,Notropis dorsalis,Notropis ,Cyprinidae
INHS_FISH_001961.jpg,122098,INHS_122098.JPG,1961,GLIN,http://www.tubri.org/HDR/INHS/INHS_FISH_001961.jpg,Notropis nubilus,Notropis ,Cyprinidae,INHS,6016,4016,10838888,d33ed921-2c7e-5d34-a10c-d9ca40ad9b1e,71953847-e845-43a4-849a-9ea8f3cb6763,22,1,TRUE,TRUE,TRUE,FALSE,detailed,FALSE,FALSE,no,FALSE,9,left,straight,FALSE,TRUE,FALSE,normal,FALSE,TRUE,none,6,Notropis nubilus,Notropis ,Cyprinidae
INHS_FISH_001980.jpg,122103,INHS_122103.JPG,1980,GLIN,http://www.tubri.org/HDR/INHS/INHS_FISH_001980.jpg,Notropis nubilus,Notropis ,Cyprinidae,INHS,6016,4016,10417524,a7c9e122-e6cd-5b19-83bd-71a018d49197,0a1e798d-968e-47bc-bf89-5ef1bddf6d98,12,1,TRUE,TRUE,TRUE,FALSE,detailed,FALSE,FALSE,no,FALSE,9,left,straight,FALSE,TRUE,FALSE,normal,FALSE,TRUE,none,7,Notropis nubilus,Notropis ,Cyprinidae
INHS_FISH_00357.jpg,121740,INHS_121740.JPG,357,GLIN,http://www.tubri.org/HDR/INHS/INHS_FISH_00357.jpg,Notropis dorsalis,Notropis ,Cyprinidae,INHS,6016,4016,11071381,bc1ce10f-0b4a-5e49-a4b8-5d86dbe1ca8c,d7afc9e0-c2cd-49fd-8cb0-b1ed7f9d68cc,12,1,TRUE,TRUE,TRUE,FALSE,detailed,FALSE,FALSE,no,FALSE,9,left,straight,FALSE,TRUE,FALSE,normal,FALSE,TRUE,none,7,Notropis dorsalis,Notropis ,Cyprinidae
INHS_FISH_003752.jpg,122487,INHS_122487.JPG,3752,GLIN,http://www.tubri.org/HDR/INHS/INHS_FISH_003752.jpg,Cyprinus carpio,Cyprinus ,Cyprinidae,INHS,6016,4016,6095135,1f31c57b-8aab-597f-a23e-5a411ac94659,4c7d6b0f-34c6-42d5-b76e-fa657b254e5f,12,1,TRUE,TRUE,TRUE,FALSE,detailed,FALSE,FALSE,no,FALSE,9,left,straight,FALSE,TRUE,FALSE,normal,TRUE,TRUE,none,8,Cyprinus carpio,Cyprinus ,Cyprinidae
INHS_FISH_003822.jpg,122505,INHS_122505.JPG,3822,GLIN,http://www.tubri.org/HDR/INHS/INHS_FISH_003822.jpg,Carassius auratus,Carassius ,Cyprinidae,INHS,6016,4016,6149391,f9726149-ebb5-5539-ac44-66ad7f0b1872,90ff821a-2c23-4785-aad4-c51e5fd4e123,10,1,TRUE,TRUE,TRUE,FALSE,detailed,FALSE,FALSE,no,FALSE,9,left,straight,FALSE,TRUE,FALSE,normal,TRUE,TRUE,none,9,Carassius auratus,Carassius ,Cyprinidae
INHS_FISH_004920.jpg,122799,INHS_122799.JPG,4920,GLIN,http://www.tubri.org/HDR/INHS/INHS_FISH_004920.jpg,Cyprinus carpio,Cyprinus ,Cyprinidae,INHS,6016,4016,7496047,f4088bc6-4f0a-57ca-8b15-ec281324e58a,5e1b1284-0993-4fd6-9fc4-cddb89becb7a,12,1,TRUE,TRUE,TRUE,FALSE,detailed,FALSE,FALSE,no,FALSE,9,left,straight,FALSE,TRUE,FALSE,normal,TRUE,TRUE,none,8,Cyprinus carpio,Cyprinus ,Cyprinidae
